Hull altenrative,RMS response pr meter Hs,,,,,,,,,,,,,,,,,,,,
,TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13,TP14,TP15,TP16,TP17,TP18,TP19,TP20,TP21
A,0.300135126,0.300135126,0.300135126,0.62468764,0.817166315,0.781270677,0.950535535,0.949791455,0.794115486,0.718545559,0.638528892,0.546824202,0.473279896,0.413855024,0.366169336,0.323196656,0.323196656,0.323196656,0.323196656,0.323196656,0.323196656
B,0.191503008,0.191503008,0.191503008,0.277994673,0.318093447,0.295590206,0.306902979,0.28601459,0.239517976,0.210778696,0.185140187,0.15941073,0.13905325,0.122046256,0.108345462,0.096279246,0.096279246,0.096279246,0.096279246,0.096279246,0.096279246
